
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     46.0  0.2296   2.00   0.00    228.3   5.11       25
   51     39.7  0.2588   1.00   3.00    217.7   6.10        0
   52     51.6  0.2038   3.00   1.00    224.5   5.52        0
   53     48.3  0.2341   2.00   2.00    245.5   6.42       27
   54     41.9  0.2415   3.00   1.00    219.1   4.61       12
   55     53.7  0.1896   2.00   0.00    218.0   4.52        1
   56     56.8  0.1728   1.57   1.43    208.6   5.62        0
   57     45.5  0.2309   2.00   0.00    224.4   4.47        0
   58     42.4  0.2544   2.57   1.43    233.2   5.46        0
   59     51.3  0.1948   2.00   1.00    214.5   5.34        0
   70     42.9  0.2272   3.00   1.00    209.1   5.68       11
   71     54.2  0.1886   1.00   2.00    213.1   5.75        2
   72     63.7  0.1711   1.00   2.00    235.7   5.86       72
   73     54.9  0.1939   1.00   2.00    229.0   6.28       24
   74     45.7  0.2270   2.00   1.00    223.8   4.31        1
   75     36.8  0.2744   2.00   1.00    217.1   5.33        1
   76     43.1  0.2378   2.00   1.00    221.7   4.69        4
   77     47.2  0.2261   3.00   1.00    228.9   4.61        5
   78     44.2  0.2264   2.00   2.00    213.8   5.14        9
   79     37.1  0.2727   3.00   0.00    220.6   4.29       11
-- marl_freeze
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     40.4  0.2643   1.63   0.37    230.5   5.57     1361
   51     40.7  0.2540   1.00   3.00    215.5   5.88        3
   52     46.8  0.2178   3.00   1.00    218.3   5.41       17
   53     45.1  0.2661   2.00   2.00    262.3   6.53      875
   54     44.4  0.2418   1.00   3.00    231.2   5.59       82
   55     54.3  0.2121   2.00   0.00    247.8   4.59       42
   56     54.7  0.1916   1.00   2.00    223.4   5.44        6
   57     42.7  0.2212   1.00   1.00    198.6   5.52       24
   58     48.6  0.2327   1.00   3.00    240.5   6.09        5
   59     51.1  0.1973   2.00   1.00    213.7   5.12       40
   70     41.5  0.2600   2.00   2.00    230.1   5.49      215
   71     48.2  0.2135   1.00   2.00    214.6   4.80       20
   72     67.4  0.1630   1.00   2.00    232.6   6.23      200
   73     39.6  0.2584   2.00   1.00    224.7   4.40     4327
   74     37.6  0.2760   1.00   2.00    226.2   5.12      374
   75     45.4  0.2508   1.00   2.00    241.4   5.24       93
   76     50.3  0.2211   2.00   1.00    234.8   5.39      134
   77     47.2  0.2314   3.00   1.00    234.4   4.70       21
   78     47.5  0.2051   2.00   2.00    203.6   5.40       37
   79     50.7  0.1948   2.00   1.00    209.6   4.93      161
-- xldet
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     42.4  0.2658   1.00   1.00    246.9   5.86       90
   51     31.7  0.3105   1.00   3.00    209.6   6.23        6
   52     48.2  0.2092   3.00   1.00    217.3   5.42        0
   53     35.5  0.3083   2.00   2.00    243.4   6.40    20660
   54     44.1  0.2489   1.00   3.00    239.2   6.21       45
   55     41.3  0.2396   1.00   1.00    215.8   5.64      203
   56     41.2  0.2365   1.00   2.00    210.7   5.42       16
   57     23.9  0.4335   1.00   1.00    230.6   5.10    17878
   58     46.5  0.2268   1.00   3.00    227.1   6.18        0
   59     44.8  0.2321   2.00   1.00    225.6   5.08       13
   70     35.7  0.2755   2.00   2.00    213.6   5.68       76
   71     41.5  0.2527   1.00   2.00    222.5   5.47       26
   72     57.0  0.2011   1.00   2.00    250.3   5.86      108
   73     46.5  0.2197   1.00   2.00    222.4   6.10       69
   74     36.7  0.2704   1.00   2.00    217.1   5.22      391
   75     40.4  0.2586   1.00   2.00    225.4   5.50        0
   76     40.1  0.2628   1.00   2.00    229.2   5.82       16
   77     43.6  0.2364   3.00   1.00    223.7   4.56       19
   78     46.3  0.2196   2.00   2.00    217.3   5.51       74
   79     38.0  0.2423   2.00   1.00    200.0   5.17       21
-- sdn
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     33.2  0.2931   1.00   1.00    211.5   5.55    17786
   51     32.3  0.2909   1.00   3.00    196.2   5.79      945
   52      0.0  4.5695   4.00   0.00    187.3    nan   115531
   53     37.1  0.2685   2.00   2.00    215.9   5.77    17699
   54     41.1  0.2413   1.00   3.00    212.3   5.55     2356
   55     44.4  0.2111   1.00   1.00    200.0   5.14     2168
   56     40.3  0.2322   1.00   2.00    198.9   4.95     1748
   57     31.0  0.3017   1.00   1.00    200.4   4.79     1748
   58     44.9  0.2212   1.00   3.00    209.5   5.98     1776
   59     41.4  0.2260   2.00   1.00    199.5   4.73     1855
